language,n,overall_sd_dist,overall_mean_dist,cv
ar,50000,0.07629334407452194,0.1668816597854125,0.45717033359222925
bg,50000,0.08390662575085697,0.19276770949970168,0.435273241398279
bn,50000,0.08694722029388109,0.21656233332143224,0.40148819492459864
de,50000,0.08550499043883572,0.18926944213779565,0.4517633141042636
el,50000,0.08565106539076978,0.19150862549952805,0.447243904379549
es,50000,0.08217976294255595,0.18439574991373187,0.44567059154564637
fa,50000,0.07587604575552571,0.18292965291079855,0.4147826475816085
fr,50000,0.08217744246859843,0.18401061765425328,0.44659076479491916
gu,50000,0.10184321877080277,0.24356739219717227,0.4181315809644947
hi,50000,0.08399184342840897,0.19908199269093743,0.4218957339793215
id,50000,0.08036157935856945,0.200382778207142,0.40104034926343396
ig,50000,0.15881671809835027,0.8563946743696339,0.18544804498609294
it,50000,0.08358471396182497,0.1882777755968226,0.4439436024611476
ja,50000,0.006238175590973207,0.9917502413830022,0.006290067126451143
kn,50000,0.08438312922308766,0.17707888200175406,0.47652847289973177
ko,50000,0.10166602122478177,0.2516009089292103,0.404076526024738
ml,50000,0.08762630735625287,0.1908610809290652,0.45911040076745546
mr,50000,0.09972625498656673,0.24165422378345774,0.41268161352697785
ne,50000,0.10042316191700856,0.25405033033638735,0.3952884524260942
nl,50000,0.08136629520066484,0.20523336758143873,0.39645743847368214
pa,50000,0.10581336434027408,0.2974677980957211,0.35571367730440784
pl,50000,0.07930533416886262,0.18275999491772799,0.4339315844507604
pt,50000,0.08038694520936093,0.18700676187804907,0.4298611686660983
ro,50000,0.08186185187987247,0.1981746309494984,0.41307937089452
ru,50000,0.08267615237876083,0.18477762313381282,0.44743595559126853
ta,50000,0.08094763167771858,0.17000863765630972,0.4761383468136643
te,50000,0.08424891543997254,0.18935084735286328,0.44493550790914144
th,50000,0.09492088031256762,0.21808423599700505,0.4352487004786131
tl,50000,0.08640549923927464,0.20956050910272456,0.41231766237463896
tr,50000,0.08032271438016994,0.1752064731045942,0.45844604344166634
ur,50000,0.08170955537146171,0.2493415352103556,0.32770134066323087
vi,50000,0.08557548747210107,0.19660154582485273,0.4352737264250103
yo,50000,0.18279783344878373,0.4736575462135645,0.38592826169471217
zh,50000,0.04268042883158045,0.8678862567593919,0.049177445199956586
