lang,lang_cv,lang_mean,lang_sd,n_words
el,0.42381606,0.192651149,0.081431514,7738
gu,0.371083171,0.245043274,0.090028061,6262
hi,0.382897908,0.201764114,0.076849536,6894
ig,0.08348969,0.893055297,0.073735948,1434
id,0.359734899,0.219287966,0.078620246,7387
it,0.412088218,0.202804402,0.0834128,8853
ja,0.004050416,0.992833254,0.004022775,6305
kn,0.447833042,0.173000223,0.077007725,7343
ko,0.381528284,0.247268571,0.093886863,7161
ar,0.426045177,0.166900395,0.07097401,7704
bn,0.358308166,0.217291188,0.077332922,5676
bg,0.412191199,0.198692187,0.08163174,8349
zh,0.035164873,0.876497061,0.03083958,7118
nl,0.367037779,0.223084223,0.081551949,8282
fr,0.418282968,0.198186637,0.082716072,8026
de,0.43949168,0.196111279,0.085876227,8747
ml,0.437321598,0.186955023,0.081174228,6445
mr,0.361028896,0.236415925,0.084581454,5463
ne,0.337023694,0.262241507,0.087601478,5044
pa,0.302642064,0.295726659,0.08869242,5185
pl,0.422569899,0.194032506,0.081773606,8603
pt,0.407463373,0.201733837,0.081945606,8679
ro,0.383579113,0.206182639,0.078714473,7084
ru,0.438433571,0.192238179,0.084215293,9218
es,0.41896723,0.197625667,0.082601327,8987
tl,0.343003909,0.226919044,0.077128647,4328
ta,0.44608278,0.168114996,0.074414056,6213
te,0.404591914,0.187682454,0.075467805,6905
th,0.386089238,0.226275599,0.086791329,3772
tr,0.433501976,0.179268253,0.077565114,7736
ur,0.284242133,0.255462642,0.072178077,6104
vi,0.34858251,0.230641162,0.07951636,1139
yo,0.222955087,0.564367461,0.124411758,1943
fa,0.382669375,0.192092387,0.073430979,6241
en,0.444501844,0.182933194,0.081317397,10000
